goal_id,game_id,goal_time,fk_goal_player,fk_assist_player1,fk_assist_player2
goal1,g1,00:19:32,p20,p9,p18
goal2,g1,00:31:21,p20,p14,
goal3,g1,00:42:13,p9,p7,
goal4,g1,00:51:15,p9,p14,
goal5,g1,00:55:47,p22,p6,p13
goal6,g3,00:28:18,p18,p13,
goal7,g3,00:31:19,p18,p6,p14
goal8,g4,00:04:16,p18,p3,p12
goal9,g4,00:07:46,p12,p20,p15
goal10,g4,00:34:23,p22,p7,p8
goal11,g4,00:37:20,p19,p13,p15
goal12,g6,00:38:42,p21,p18,p20
goal13,g6,00:49:35,p8,p6,
goal14,g6,00:52:13,p8,p2,
goal15,g6,01:05:00,p23,,
goal16,g7,00:58:05,p18,p13,p6
goal17,g8,00:29:08,p17,p6,
goal18,g8,00:52:07,p18,p22,p13
goal19,g8,00:59:35,p18,p22,p20
goal20,g8,00:59:54,p2,p17,
goal21,g9,00:25:18,p9,p13,p20
goal22,g9,00:51:07,p9,p22,
goal23,g10,00:04:33,p14,p6,p17
goal24,g10,00:08:56,p22,p13,p11
goal25,g10,00:53:17,p18,p13,
goal26,g10,01:03:26,p6,p18,p9
goal27,g11,00:13:45,p19,p3,p18
goal28,g11,00:26:17,p19,p3,p14
goal29,g12,00:28:25,p2,p16,p17
goal30,g12,00:51:48,p17,p11,p6
goal31,g13,00:07:37,p17,p8,
goal32,g13,00:09:22,p9,p10,
goal33,g13,00:46:24,p3,p9,p20
goal34,g13,00:51:24,p18,p22,p20
goal35,g13,00:53:09,p9,p17,
goal36,g14,00:04:54,p17,p22,
goal37,g14,00:58:22,p3,p14,p2
goal38,g15,00:26:38,p3,p8,p17
goal39,g15,00:46:09,p18,,
goal40,g16,00:11:09,p10,p19,p14
goal41,g16,00:24:34,p6,p14,p19
goal42,g16,00:29:58,p8,p19,p14
goal43,g16,00:37:34,p10,p14,p8
goal44,g16,00:38:32,p22,p12,p18
goal45,g16,00:59:52,p20,p18,p14
goal46,g16,01:05:00,p23,,
goal47,g17,00:07:40,p5,p21,p11
goal48,g17,00:11:26,p14,p18,p3
goal49,g17,00:12:57,p10,p8,
goal50,g17,00:22:35,p22,p5,p20
goal51,g17,00:49:04,p18,p20,p3
goal52,g18,00:29:44,p20,p5,
goal53,g18,00:33:08,p5,p6,p22
goal54,g19,00:07:46,p12,p5,p6
goal55,g19,00:15:45,p8,p18,p12
goal56,g19,00:29:41,p22,p5,
goal57,g19,00:37:51,p18,p6,p8
goal58,g19,00:55:42,p5,p12,p22
goal59,g19,00:57:47,p5,p22,p6
