game_id,game_date,fk_bees,fk_team2,bees_shots,team2_shots,bees_goals,team2_goals,bees_penalties,team2_penalties,away_home
g1,2019-09-21,t2,t6,26,20,5,4,8,16,home
g2,2019-09-22,t2,t6,23,38,0,3,40,22,away
g3,2019-09-28,t2,t1,15,33,2,4,8,10,away
g4,2019-09-29,t2,t4,32,27,4,3,33,43,home
g5,2019-10-05,t2,t9,30,40,0,5,12,12,away
g6,2019-10-06,t2,t5,27,25,4,3,57,16,home
g7,2019-10-13,t2,t9,19,34,1,2,10,8,home
g8,2019-10-19,t2,t5,52,30,4,3,44,86,away
g9,2019-10-20,t2,t1,34,36,2,9,26,12,home
g10,2019-10-26,t2,t10,31,33,4,3,12,12,home
g11,2019-10-27,t2,t7,28,26,2,3,4,26,home
g12,2019-11-02,t2,t6,39,32,2,3,10,12,home
g13,2019-11-03,t2,t7,35,26,5,6,50,20,away
g14,2019-11-09,t2,t5,28,34,2,7,8,10,away
g15,2019-11-10,t2,t1,23,27,2,3,24,8,home
g16,2019-11-17,t2,t3,38,41,7,6,26,6,home
g17,2019-11-23,t2,t1,34,29,5,3,90,86,away
g18,2019-11-24,t2,t9,38,27,2,4,22,28,home
g19,2019-11-30,t2,t6,28,33,6,2,12,8,away
